Geography Code,Geography Name,Sex,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Pakistani","Asian, Asian British or Asian Welsh: Other Asian","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E08000024,Sunderland,Male,1495,415,1010,350,865,1170,65,125,435,270,235,310,123275,105,265,60,1820,265,555
E08000025,Birmingham,Female,24350,6775,33705,98720,16100,34825,24515,7195,6665,2480,13010,6455,250270,350,8845,835,24265,9320,15810
E08000025,Birmingham,Male,23880,5710,32815,96380,16945,31990,20205,7025,6465,2200,12110,5820,240940,335,8115,1000,21650,9875,16955
E08000026,Coventry,Female,2135,2290,16005,6275,4860,12365,1775,1575,1585,825,2430,1150,95995,150,2850,515,14310,1145,4910
E08000026,Coventry,Male,2120,2280,16090,6385,5475,11745,1685,1580,1595,840,2165,1140,94895,145,2810,600,13975,1335,5315
E08000027,Dudley,Female,325,510,3965,7505,1375,1830,1915,530,1090,245,2640,685,135460,225,550,75,3395,945,1205
E08000027,Dudley,Male,290,495,3850,7400,1330,1670,1710,515,1165,235,2495,640,131105,200,560,115,2900,1080,1255
E08000028,Sandwell,Female,5550,630,22130,11125,4470,6500,7175,2050,1690,465,4185,1280,90745,165,780,165,7970,940,5560
E08000028,Sandwell,Male,5520,575,22250,11020,4750,6165,5925,1960,1585,465,3845,1170,87185,160,810,210,7435,1075,6150
E08000029,Solihull,Female,535,920,5725,3815,1080,670,1020,285,1025,200,1880,680,86880,45,2025,25,2810,455,1210
E08000029,Solihull,Male,540,840,5620,3795,975,675,1015,295,1045,220,1815,625,81520,30,1895,30,2410,435,1175
E08000030,Walsall,Female,3235,465,11450,10010,1760,3340,2550,845,1225,300,2595,780,98335,180,550,100,4910,255,2585
E08000030,Walsall,Male,3140,425,11275,9730,1705,3100,2335,850,1160,320,2235,695,93195,175,520,120,4640,255,2770
E08000031,Wolverhampton,Female,275,415,20925,3310,2855,5765,5270,1780,1275,485,4340,1125,73990,120,575,195,7010,395,4070
E08000031,Wolverhampton,Male,255,385,21130,3365,2985,5395,4635,1795,1300,455,4155,935,70315,135,595,255,6515,570,4380
E08000032,Bradford,Female,6315,725,7305,70765,3965,3500,1310,640,3260,615,2280,1480,158950,430,1145,795,10320,1290,3880
E08000032,Bradford,Male,6090,620,7125,68785,3970,3565,1305,660,3195,580,2145,1445,150960,420,995,785,9200,1445,4145
E08000033,Calderdale,Female,350,235,925,8950,585,435,180,95,705,200,675,425,87720,65,830,115,2670,155,590
E08000033,Calderdale,Male,330,180,935,8690,545,415,220,95,755,175,675,420,83265,75,730,130,2235,175,680
E08000034,Kirklees,Female,490,805,11405,27605,2060,2080,2115,725,2030,520,3275,1070,156550,80,1240,150,5655,870,2140
E08000034,Kirklees,Male,575,720,11330,27190,2020,2100,2210,720,1950,515,3160,1070,149030,85,1095,165,4920,1045,2450
E08000035,Leeds,Female,2905,4540,10515,15855,6090,16515,4185,2600,3655,2275,5290,2975,304930,450,3465,760,19655,2820,6105
E08000035,Leeds,Male,2970,3575,10575,15550,5925,15695,3705,2675,3755,2020,4740,2685,290805,430,3425,850,17030,3160,6800
E08000036,Wakefield,Female,35,595,1150,3575,1100,1760,150,270,805,405,665,525,158585,140,440,105,8100,230,910
E08000036,Wakefield,Male,40,520,1140,3530,950,1830,210,295,905,455,675,505,153045,140,520,125,7540,330,1070
E08000037,Gateshead,Female,180,605,505,470,760,915,45,135,425,250,190,275,90540,55,330,130,2695,460,995
E08000037,Gateshead,Male,195,540,525,475,670,940,65,120,445,295,195,315,86595,60,380,130,2585,470,1210
E09000001,City of London and Westminster,Female,3940,4275,4010,1225,5770,5765,2505,940,2035,1085,1140,3015,28495,25,1995,715,28190,7595,6465
E09000001,City of London and Westminster,Male,3880,2895,4275,1270,4145,4840,1855,785,1860,1055,975,2640,32315,25,1930,845,24150,7955,5935
E09000002,Barking and Dagenham,Female,11185,750,5655,7590,2810,18565,3305,3065,770,1240,1475,1220,35070,95,650,360,14435,810,3235
E09000002,Barking and Dagenham,Male,11210,635,5845,8210,2690,16535,2520,2820,780,1135,1500,1200,32480,90,535,500,14065,680,3160
E09000003,Barnet,Female,1450,5320,15830,3325,13075,12415,2820,1550,3010,2030,1845,4015,70810,110,4010,685,39260,3580,15655
E09000003,Barnet,Male,1425,4115,14560,3360,12515,10255,2135,1480,3020,1720,1660,3590,69970,70,3635,865,35345,3800,15030
E09000004,Bexley,Female,885,2115,5570,650,3280,12330,1795,1830,1085,855,1260,1235,82230,315,1410,135,7945,230,2820
E09000004,Bexley,Male,905,1875,5355,730,3070,10935,1435,1755,1095,870,1230,1110,76610,305,1115,165,6925,295,2715
E09000005,Brent,Female,1115,1950,33070,7440,12680,17020,12150,3765,1910,1720,2010,3540,24975,120,4680,1105,27185,8475,8220
E09000005,Brent,Male,1070,1440,33085,7780,11880,14050,9110,3405,1700,1465,1765,3145,26635,115,4635,1415,26835,9450,7720
E09000006,Bromley,Female,790,2750,6335,875,3735,7035,4500,2030,2445,1240,2845,2695,112510,315,2735,260,14860,540,3240
E09000006,Bromley,Male,960,2325,5995,905,2635,6160,3670,1755,2305,1190,2645,2380,106980,260,2220,295,11860,665,3055
E09000007,Camden,Female,7395,4000,3620,810,4985,7855,1510,1035,2295,1085,1355,2715,36865,70,2695,450,24575,2100,5240
E09000007,Camden,Male,6965,2730,3335,800,3410,6335,1190,965,1950,975,1200,2365,37485,55,2630,530,19710,2315,4540
E09000008,Croydon,Female,1805,2175,14845,7565,8345,21680,20560,6385,2875,2285,5510,4940,73495,115,2735,505,19655,1075,6540
E09000008,Croydon,Male,1745,1775,14720,7780,7735,18535,15545,5730,2865,2170,4865,4235,72770,100,2200,615,16795,1180,6265
E09000009,Ealing,Female,1825,2645,27180,8320,16025,11995,7375,2075,2705,1240,2430,3480,43370,130,4360,650,31030,7825,11545
E09000009,Ealing,Male,1860,1880,27625,8395,15485,10585,5525,1940,2740,1210,2170,3195,45895,115,4150,780,27980,8280,11110
E09000010,Enfield,Female,4120,1535,6185,1800,6145,20120,9760,3705,1870,1485,2700,3985,52355,210,3275,575,31875,1225,19540
E09000010,Enfield,Male,4005,1155,5685,1875,5470,16345,7230,3355,1945,1505,2465,3595,50785,160,2690,545,29405,1310,17985
E09000011,Greenwich,Female,1180,3950,5050,1770,7765,23075,4695,3890,1805,1730,2660,2900,59965,200,2150,425,19135,695,5525
E09000011,Greenwich,Male,1215,3175,5075,1770,7075,21110,4030,3800,1685,1570,2480,2465,59700,185,2080,455,16710,765,5145
E09000012,Hackney,Female,3410,2060,4565,1235,3175,16295,10295,3640,1980,1420,2475,3390,43230,130,2710,370,23180,1130,10610
E09000012,Hackney,Male,3145,1400,4265,1230,2400,13180,7610,3620,1710,1315,2270,2925,44695,120,2875,495,19905,1215,9470
E09000013,Hammersmith and Fulham,Female,625,2425,2040,970,4535,7345,3775,1330,1660,980,1675,2320,35270,50,2585,700,21870,2740,4320
E09000013,Hammersmith and Fulham,Male,650,1825,2060,1040,3130,5895,2855,1255,1480,800,1485,1925,34835,45,2230,785,17315,2790,3545
E09000014,Haringey,Female,2405,2130,3150,1075,3495,13650,9265,2785,2040,1400,2770,3615,41165,125,2910,830,31100,1200,11885
E09000014,Haringey,Male,2410,1720,2685,1085,2920,11205,7075,2485,1875,1175,2555,3125,43135,110,2790,1175,27245,1325,11145
E09000015,Harrow,Female,930,1500,38565,5215,14335,5790,3620,1140,1530,565,1160,1765,26200,75,2950,615,16935,3115,6405
E09000015,Harrow,Male,890,1285,36180,5045,14205,4790,2895,915,1610,540,1025,1640,27365,105,2660,805,17525,3125,6190
E09000016,Havering,Female,2340,1155,5675,2750,2425,7550,2685,1355,1140,795,1650,1415,89785,135,1580,205,10290,410,2325
E09000016,Havering,Male,2430,855,5615,2935,1965,6590,2150,1240,1205,740,1575,1230,84450,125,1315,225,9205,400,2140
E09000017,Hillingdon,Female,2005,1700,28615,7000,11720,8200,3115,1200,2080,930,1660,2065,57210,255,2970,310,14260,2150,7405
E09000017,Hillingdon,Male,2045,1485,28725,7245,11400,7640,2635,1160,2120,965,1490,2045,56165,225,2615,380,12995,2310,7405
E09000018,Hounslow,Female,1375,1420,29755,8555,11485,8005,1845,1135,2060,1080,1380,2320,40635,155,2045,445,20905,2530,7850
E09000018,Hounslow,Male,1325,1245,31075,8900,10715,6890,1730,1205,2070,1060,1345,2195,41295,145,1850,535,19075,2935,7620
E09000019,Islington,Female,3035,3150,2100,485,3100,10045,4180,1675,1925,1230,2210,3310,42440,65,3675,420,22050,1485,6720
E09000019,Islington,Male,2935,1975,1950,510,2290,8045,3190,1610,1825,1025,1960,2740,43655,45,3390,540,18485,1505,5615
E09000020,Kensington and Chelsea,Female,770,2195,1670,675,4510,3855,1790,545,1485,660,905,1890,23350,40,1480,530,22365,3225,4370
E09000020,Kensington and Chelsea,Male,715,1645,1540,610,2695,3090,1445,555,1560,630,820,1575,23535,45,1345,515,18190,3160,3400
E09000021,Kingston upon Thames,Female,450,2350,3980,2220,6995,1670,575,270,1815,570,805,1475,45280,35,1385,205,11970,1775,3220
E09000021,Kingston upon Thames,Male,480,1775,3750,2160,5775,1435,505,285,1725,520,760,1330,45010,30,1245,240,9435,1805,2760
E09000022,Lambeth,Female,1260,2920,3185,1845,3205,20120,16285,5035,2410,2195,4395,4435,58075,40,3385,640,24890,1220,8175
E09000022,Lambeth,Male,1240,2070,2870,2025,2435,17240,12705,4760,2130,1810,3955,4300,61320,105,3445,895,21980,1430,7225
E09000023,Lewisham,Female,925,3530,2670,1125,6115,20310,18240,5810,2225,1985,4775,4050,55575,50,2585,460,20015,740,6635
E09000023,Lewisham,Male,900,2770,2375,1235,5285,17525,13640,4945,2135,1785,3950,3345,56150,65,2470,575,16805,930,5845
E09000024,Merton,Female,1260,2050,4840,4650,7690,6505,4275,1535,1845,880,1560,2235,44365,115,2265,330,19040,925,4160
E09000024,Merton,Male,1210,1565,4770,5020,6970,5710,3355,1505,1910,845,1450,2045,44305,80,2070,480,16560,995,3815
E09000025,Newham,Female,27700,3325,18430,15110,8390,21955,7595,3515,1620,1745,2145,2835,24665,165,1010,1000,25720,1710,7090
E09000025,Newham,Male,27975,2890,20210,16105,8050,18915,5995,3325,1705,1575,2105,2690,27155,185,1030,1345,25675,1825,6555
E09000026,Redbridge,Female,16035,1620,25300,21695,8635,7800,4715,1535,1795,890,1520,2255,36320,85,1680,525,16170,1140,7220
E09000026,Redbridge,Male,15860,1300,25885,22305,8200,6775,3740,1535,1780,825,1635,2035,35525,100,1410,580,15580,1125,7140
E09000027,Richmond upon Thames,Female,465,1645,3830,890,2820,1220,475,260,2120,610,875,1910,61730,45,2655,180,16230,805,2555
E09000027,Richmond upon Thames,Male,450,1130,3410,860,1965,1040,465,235,2115,595,780,1655,61360,35,2210,220,12435,915,2075
E09000028,Southwark,Female,2815,4725,3170,940,4840,26120,10455,5610,2345,1825,3250,3830,53295,90,2960,585,21845,1440,8500
E09000028,Southwark,Male,2730,3680,2975,1065,3600,22200,7700,5215,2305,1745,3155,3700,55960,65,3065,995,19360,1680,7810
E09000029,Sutton,Female,885,2155,6355,3010,6435,4010,1860,825,1540,625,1375,1670,61395,65,1665,145,10525,680,2935
E09000029,Sutton,Male,890,1835,6265,3170,5790,3430,1590,745,1530,645,1400,1380,58620,65,1455,175,9035,715,2750
E09000030,Tower Hamlets,Female,54250,5900,4845,1565,3845,7905,2680,1180,2240,1185,1855,2680,33015,55,1635,810,22945,1685,4160
E09000030,Tower Hamlets,Male,53080,4380,5290,1775,2925,7465,2250,1210,2130,1055,1735,2525,38160,60,1935,1415,22240,1900,4330
E09000031,Waltham Forest,Female,2545,1405,4670,14105,5075,9895,9975,2750,2055,1440,2730,3285,47145,105,2195,630,23890,1295,6755
E09000031,Waltham Forest,Male,2620,1220,4465,14635,4805,8865,7615,2550,1820,1340,2405,2910,47620,95,2035,765,22540,1590,6585
E09000032,Wandsworth,Female,875,2830,5030,6040,5835,9675,6510,2290,2950,1310,2755,3720,79480,45,4245,745,30830,1900,5180
E09000032,Wandsworth,Male,765,1825,4570,6205,4335,7655,4845,2090,2825,1185,2585,3265,77565,75,3810,985,24300,1960,4400
E12000001,North East,Female,7990,7815,10095,13520,9310,10715,765,1365,6300,3170,2725,4345,1229400,1375,4170,1100,27470,4780,7205
E12000001,North East,Male,8365,6625,11925,13770,8625,11355,940,1500,6190,3355,2925,4260,1168155,1245,4215,1275,24315,5625,8730
E12000002,North West,Female,30330,28585,69790,151350,33250,63925,13080,10395,24155,15320,23855,19520,3072320,2915,31530,3290,132245,20325,31075
E12000002,North West,Male,30530,25465,70625,152260,30505,62680,12835,10995,23675,14690,23105,18925,2947065,2825,29885,4070,121245,23540,35215
E12000003,Yorkshire and the Humber,Female,14395,16115,40540,149470,25770,40825,11370,6870,18320,7965,20120,12975,2260760,2835,12845,4465,109120,11785,25140
E12000003,Yorkshire and the Humber,Male,14625,13470,40785,146970,24920,40085,11370,7130,18570,7680,19175,12210,2170505,3055,12370,5000,99010,13690,28480
E12000004,East Midlands,Female,10240,12155,115565,35305,24325,42735,15855,7770,15300,7030,23465,13125,1971020,2240,13790,3330,135155,6175,23280
E12000004,East Midlands,Male,10740,10815,114265,35730,21955,40425,14970,8230,15505,7310,22935,12575,1911370,2380,13340,3870,123285,7185,25300
E12000005,West Midlands,Female,38920,17720,138415,160585,44325,75370,48045,16300,23240,8115,41525,17860,2173145,3085,24520,3035,129440,15000,44555
E12000005,West Midlands,Male,38600,15580,137615,158580,43925,70715,42150,16440,23235,7900,39665,16685,2102410,3125,23370,3775,119125,16790,47880
E12000006,Eastern,Female,25140,20940,68195,48985,44145,61500,21110,11575,25460,13790,25955,24890,2526110,4580,30635,4320,228730,7025,35015
E12000006,Eastern,Male,25545,17505,68775,50465,36170,57230,20775,12760,25985,13585,25995,23990,2446040,4400,27335,5355,200870,8615,35580
E12000007,London,Female,162065,83655,329785,142515,213275,375785,195180,75680,63670,40315,69155,90195,1619770,3625,81265,16550,685170,67455,216500
E12000007,London,Male,159990,63865,326485,148035,187970,321270,150225,70230,61520,37025,63400,80495,1619510,3405,75065,21140,605670,72335,200475
E12000008,South East,Female,19360,36270,121320,71825,85995,77570,21670,13450,44030,19335,30930,37385,3715940,8355,41525,5670,321145,13560,53490
E12000008,South East,Male,20520,28060,120215,73485,73490,72970,21855,14070,44075,19295,31160,34660,3599120,8390,36695,7115,265425,16015,52615
E12000009,South West,Female,5755,14920,29025,8395,25255,21635,8355,4310,17675,7780,16665,15885,2550330,3155,16475,2485,140400,4470,18585
E12000009,South West,Male,6465,11600,29820,9035,18920,21685,8870,4760,17285,7860,16550,14370,2457820,3225,15225,3300,117195,5835,19820
E92000001,England,Female,314195,238180,922730,781950,505650,770060,335430,147715,238145,122825,254400,236185,21118795,32170,256750,44245,1908870,150570,454850
E92000001,England,Male,315370,192985,920520,788335,446480,698415,283990,146115,236045,118705,244910,218165,20421995,32050,237505,54890,1676130,169630,454100
K04000001,England and Wales,Female,321555,245865,933035,790415,517085,779940,337100,149655,245110,126980,261340,242655,22555435,33955,263620,45075,1953820,155865,461690
K04000001,England and Wales,Male,323325,199750,931285,797405,455700,708440,286020,148125,243115,122620,251700,224455,21799600,33815,243845,55905,1714175,175980,462085
W06000001,Isle of Anglesey,Female,20,55,45,10,105,35,10,,90,40,70,80,33885,15,205,20,445,25,50
W06000001,Isle of Anglesey,Male,20,50,50,10,60,35,,10,100,40,85,90,32455,35,175,15,335,35,55
W06000002,Gwynedd,Female,80,290,220,100,295,205,50,30,220,100,190,170,55725,60,295,15,1560,140,125
W06000002,Gwynedd,Male,120,290,265,110,200,170,35,25,215,80,180,175,53820,55,260,30,1170,175,150
W06000003,Conwy,Female,75,225,180,95,305,85,35,20,230,95,165,145,55480,55,470,,1320,50,120
W06000003,Conwy,Male,105,205,195,100,165,80,25,30,225,95,160,135,52445,50,370,15,965,65,155
W06000004,Denbighshire,Female,60,155,145,75,380,95,20,30,180,80,145,110,46535,25,240,10,770,50,100
W06000004,Denbighshire,Male,55,180,185,90,320,85,25,15,170,80,165,115,43935,35,240,20,670,65,145
W06000005,Flintshire,Female,55,200,175,65,270,100,20,20,260,110,155,195,73645,65,335,30,3110,30,210
W06000005,Flintshire,Male,55,170,220,60,180,75,40,35,245,130,180,175,70710,55,295,45,2935,65,235
W06000006,Wrexham,Female,120,170,235,115,475,335,30,65,220,190,175,165,61965,50,210,25,3365,95,240
W06000006,Wrexham,Male,155,135,305,170,370,320,55,75,225,200,205,175,60580,70,215,40,3155,125,300
W06000008,Ceredigion,Female,30,180,175,70,135,125,25,20,145,60,95,140,33370,30,215,15,1505,65,110
W06000008,Ceredigion,Male,45,140,150,75,95,125,50,20,150,70,95,120,32305,25,215,15,1080,70,120
W06000009,Pembrokeshire,Female,75,125,115,40,295,80,35,15,195,85,135,180,59795,290,385,20,1255,30,150
W06000009,Pembrokeshire,Male,70,95,130,40,180,70,25,25,205,80,150,140,57020,285,315,15,995,60,175
W06000010,Carmarthenshire,Female,55,215,270,110,595,135,65,30,310,135,230,215,90410,210,340,35,2540,120,200
W06000010,Carmarthenshire,Male,80,165,290,130,410,110,75,40,325,120,210,215,86265,225,310,35,2285,145,250
W06000011,Swansea,Female,1405,1025,1020,445,1340,1060,110,150,610,340,355,575,106085,55,590,45,4270,670,810
W06000011,Swansea,Male,1460,905,1150,510,1185,1165,125,185,675,335,310,605,102620,40,520,70,3760,905,995
W06000012,Neath Port Talbot,Female,245,175,220,100,350,120,65,55,245,130,270,200,68795,95,215,15,935,35,145
W06000012,Neath Port Talbot,Male,265,215,305,125,255,155,80,45,245,80,265,145,66315,75,225,15,825,70,170
W06000013,Bridgend,Female,70,260,290,75,425,100,30,30,270,125,235,195,69735,25,205,30,1320,40,155
W06000013,Bridgend,Male,95,230,295,105,305,155,65,45,255,155,250,195,68020,35,245,25,1160,40,190
W06000014,Vale of Glamorgan,Female,90,305,455,170,470,155,110,55,365,235,520,385,62750,25,360,15,1550,120,220
W06000014,Vale of Glamorgan,Male,85,275,440,165,355,130,110,70,370,245,485,385,58620,25,300,10,1145,145,230
W06000015,Cardiff,Female,3435,2715,4380,4200,2955,5295,615,1025,1785,1385,2220,2070,136710,370,1200,265,9260,3100,2485
W06000015,Cardiff,Male,3455,2305,4460,4415,2675,5295,735,935,1790,1225,2080,1955,129825,305,1135,330,7535,3525,2885
W06000016,Rhondda Cynon Taf,Female,60,470,485,195,560,350,55,55,365,265,320,320,115460,35,265,15,1710,70,270
W06000016,Rhondda Cynon Taf,Male,185,420,475,210,445,400,60,80,345,260,315,280,110660,35,250,15,1480,125,290
W06000018,Caerphilly,Female,,235,220,75,305,65,40,20,270,130,260,220,86555,15,195,20,1185,35,135
W06000018,Caerphilly,Male,30,210,235,80,185,65,55,40,265,115,280,215,82800,25,195,25,940,50,160
W06000019,Blaenau Gwent,Female,10,65,95,30,100,35,15,,65,35,125,60,32635,70,45,,620,15,40
W06000019,Blaenau Gwent,Male,15,75,120,45,70,40,15,,75,30,95,85,31355,65,45,,610,25,65
W06000020,Torfaen,Female,45,110,115,40,315,55,30,20,125,70,180,115,45110,145,165,15,625,20,105
W06000020,Torfaen,Male,55,105,140,50,230,60,40,20,140,65,165,145,42765,120,130,20,505,25,90
W06000021,Monmouthshire,Female,25,160,155,40,255,65,30,15,175,90,125,140,44555,10,240,,1155,35,140
W06000021,Monmouthshire,Male,30,115,160,55,190,65,30,20,200,90,135,155,43010,25,210,15,880,55,95
W06000022,Newport,Female,1350,370,1055,2360,965,1340,230,245,590,335,765,540,65485,50,355,190,3670,495,785
W06000022,Newport,Male,1510,340,965,2445,835,1345,320,250,600,305,765,560,62760,120,330,215,3300,505,950
W06000023,Powys,Female,35,90,90,20,395,30,50,25,195,70,155,175,63890,55,290,25,1685,45,150
W06000023,Powys,Male,45,70,85,30,385,45,50,30,180,80,140,145,62470,45,290,25,1380,55,160
W06000024,Merthyr Tydfil,Female,20,85,160,40,145,25,,10,60,50,60,80,28070,30,50,10,1085,,90
W06000024,Merthyr Tydfil,Male,30,70,145,50,125,35,,,65,35,75,85,26845,25,65,15,945,10,120
W92000004,Wales,Female,7360,7690,10305,8465,11435,9880,1670,1940,6965,4155,6940,6475,1436640,1785,6875,830,44950,5290,6840
W92000004,Wales,Male,7955,6765,10765,9065,9220,10025,2030,2005,7070,3915,6790,6290,1377605,1765,6340,1015,38045,6350,7985